;total_ips_origem;total_ips_destino;total_pacotes;has_bot
0;2;2;4;0
1;0;0;0;0
2;8;8;31;0
3;3;4;6;1
4;6;8;28;0
5;2;2;3;0
6;2;2;2;0
7;1;1;1;0
8;2;2;2;0
9;0;0;0;0
10;4;6;23;0
11;5;6;31;0
12;5;5;14;0
13;0;0;0;0
14;1;1;1;0
15;2;2;10;1
16;1;1;1;0
17;3;3;8;0
18;2;2;7;0
19;3;4;23;0
20;7;7;22;0
21;4;4;9;1
22;2;2;2;0
23;0;0;0;0
24;3;3;7;1
25;2;2;8;1
26;2;2;3;0
27;1;1;1;0
28;3;3;5;1
29;1;1;3;0
30;1;1;1;0
31;2;2;5;0
32;1;1;1;0
33;2;2;4;1
34;1;1;1;0
35;1;1;1;0
36;1;1;1;0
37;0;0;0;0
38;2;2;4;0
39;1;5;14;0
40;3;3;7;0
41;1;1;4;0
42;2;2;2;0
43;2;2;4;0
44;1;1;1;0
45;0;0;0;0
46;1;1;1;0
47;1;1;2;0
48;2;2;4;0
49;0;0;0;0
50;3;3;6;0
51;0;0;0;0
52;4;4;12;1
53;0;0;0;0
54;1;1;1;0
55;0;0;0;0
56;1;1;1;0
57;3;3;7;0
58;3;3;5;1
59;0;0;0;0
60;2;2;5;0
61;0;0;0;0
62;4;4;11;1
63;0;0;0;0
64;1;1;1;0
65;2;2;8;1
66;2;2;3;0
67;1;1;3;0
68;1;1;1;0
69;3;3;24;1
70;3;3;25;1
71;2;2;8;1
72;3;3;4;0
73;1;1;2;0
74;3;3;5;1
75;0;0;0;0
76;6;6;14;1
77;2;2;4;1
78;2;2;3;0
79;3;3;16;1
80;2;2;2;0
81;0;0;0;0
82;2;2;2;0
83;0;0;0;0
84;1;1;1;0
85;0;0;0;0
86;2;2;4;0
87;0;0;0;0
88;3;3;5;1
89;1;1;4;0
90;1;1;1;0
91;0;0;0;0
92;3;3;5;0
93;0;0;0;0
94;3;3;5;1
95;0;0;0;0
96;2;2;10;0
97;0;0;0;0
98;4;4;13;1
99;2;2;4;1
100;1;1;1;0
101;2;2;4;1
102;2;2;2;0
103;1;1;1;0
104;1;1;1;0
105;1;1;3;0
106;1;1;1;0
107;3;3;8;1
108;1;1;1;0
109;0;0;0;0
110;2;2;3;0
111;1;1;2;0
112;2;2;2;0
113;1;1;2;0
114;1;1;1;0
115;3;3;7;0
116;2;2;5;0
117;1;1;2;0
118;1;1;1;0
119;2;2;6;1
120;1;1;1;0
121;2;2;4;1
122;1;1;1;0
123;0;0;0;0
124;2;2;4;0
125;2;2;10;1
126;3;3;7;0
127;0;0;0;0
128;1;1;1;0
129;0;0;0;0
130;1;1;1;0
131;3;3;5;1
132;2;2;2;0
133;0;0;0;0
134;7;7;59;0
135;2;2;40;0
136;4;4;13;1
137;0;0;0;0
138;1;1;1;0
139;2;2;4;1
140;1;1;1;0
141;4;4;8;1
142;4;4;6;0
143;2;2;20;1
144;12;12;483;1
145;8;9;196;1
146;10;10;689;0
147;6;7;18;0
148;3;3;5;1
149;3;3;12;0
150;3;3;7;1
151;1;1;4;0
152;3;3;7;1
153;2;2;6;1
154;6;6;14;1
155;13;13;408;0
156;11;10;635;0
157;18;17;1294;0
158;14;10;505;1
159;4;4;18;0
160;3;2;5;0
161;4;4;24;0
162;8;7;30;1
163;3;2;33;0
164;6;5;13;0
165;5;5;20;0
166;4;4;19;0
167;4;4;28;0
168;9;9;88;1
169;0;0;0;0
170;3;2;7;0
171;1;1;2;0
172;6;5;14;1
173;2;1;7;0
174;3;3;5;0
175;8;9;28;1
176;4;4;7;0
177;3;4;26;0
178;10;9;107;0
179;0;0;0;0
180;3;3;5;0
181;3;3;5;1
182;4;4;16;0
183;1;1;4;0
184;3;4;9;0
185;6;6;36;0
186;5;5;9;0
187;3;3;24;0
188;9;10;53;0
189;0;0;0;0
190;1;1;1;0
191;1;1;3;0
192;3;3;6;0
193;0;0;0;0
194;2;2;3;0
195;4;4;10;0
196;6;7;27;0
197;3;4;22;0
198;9;8;45;0
199;2;2;4;1
200;2;2;4;0
201;0;0;0;0
202;3;3;6;0
203;3;3;32;0
204;5;5;31;0
205;11;11;60;1
206;4;4;6;0
207;4;5;20;0
208;12;13;156;0
209;4;4;13;1
210;3;3;5;0
211;3;3;8;0
212;3;3;5;1
213;0;0;0;0
214;3;5;17;0
215;14;14;104;0
216;5;9;37;0
217;3;5;16;0
218;11;11;64;1
219;2;2;4;0
220;4;4;17;0
221;0;0;0;0
222;2;2;2;0
223;2;2;6;1
224;1;1;1;0
225;6;6;16;0
226;3;3;13;1
227;5;5;32;1
228;11;11;74;1
229;4;4;10;1
230;2;2;5;0
231;2;2;6;1
232;3;3;4;0
233;2;2;4;1
234;1;1;1;0
235;8;8;26;1
236;4;4;8;1
237;4;4;11;0
238;8;8;61;0
239;3;3;16;0
240;1;1;1;0
241;0;0;0;0
242;3;3;5;1
243;0;0;0;0
244;5;5;11;1
245;6;6;16;0
246;4;4;12;1
247;3;3;8;0
248;8;9;63;0
249;1;1;4;0
250;3;3;5;1
251;1;1;2;0
252;2;2;2;0
253;0;0;0;0
254;1;1;1;0
255;9;9;32;1
256;2;2;4;0
257;3;4;10;0
258;9;9;65;0
259;0;0;0;0
260;5;5;19;1
261;3;3;26;0
262;7;7;34;0
263;6;6;33;0
264;1;1;1;0
265;5;5;15;0
266;5;5;31;0
267;6;6;22;1
268;9;9;65;0
269;1;1;1;0
270;1;1;1;0
271;0;0;0;0
272;1;1;1;0
273;8;14;116;1
274;10;11;57;0
275;6;6;28;0
276;1;1;1;0
277;1;1;4;0
278;11;11;59;1
279;2;2;4;1
280;1;1;1;0
281;0;0;0;0
282;4;4;6;1
283;4;4;8;1
284;4;4;10;1
285;4;4;12;0
286;4;4;9;1
287;2;2;4;0
288;4;4;7;0
289;2;2;6;0
290;2;2;5;0
291;0;0;0;0
292;5;5;15;1
293;0;0;0;0
294;4;4;10;0
295;4;4;12;0
296;3;3;9;0
297;0;0;0;0
298;3;3;5;0
299;0;0;0;0
300;1;1;1;0
301;0;0;0;0
302;1;1;1;0
303;1;1;3;0
304;2;2;5;0
305;5;5;16;0
306;1;1;1;0
307;0;0;0;0
308;3;3;5;0
309;0;0;0;0
310;3;3;11;1
311;0;0;0;0
312;3;3;5;0
313;0;0;0;0
314;3;3;6;0
315;8;8;58;0
316;6;6;25;1
317;5;5;42;0
318;5;5;11;1
319;0;0;0;0
320;6;6;17;1
321;0;0;0;0
322;3;3;5;0
323;2;2;4;1
324;6;7;29;1
325;9;9;44;1
326;3;3;7;1
327;3;3;22;0
328;8;8;61;1
329;5;5;24;1
330;1;1;1;0
331;5;5;18;1
332;4;4;14;0
333;2;2;6;0
334;3;3;5;1
335;4;4;18;1
336;4;4;13;1
337;3;3;8;1
338;1;1;1;0
339;2;2;6;1
340;3;3;7;0
341;0;0;0;0
342;3;3;5;0
343;1;1;4;0
344;1;1;1;0
345;0;0;0;0
346;1;1;1;0
347;5;5;13;1
348;2;3;3;0
349;1;3;8;0
350;3;4;5;0
351;1;1;1;0
352;6;5;14;0
353;1;1;1;0
354;3;3;5;1
355;2;2;6;1
356;2;2;2;0
357;3;3;9;1
358;1;1;1;0
359;0;0;0;0
360;1;1;1;0
361;4;3;11;1
362;2;2;3;0
363;0;0;0;0
364;2;2;2;0
365;4;4;14;1
366;4;4;6;0
367;1;1;3;0
368;1;1;1;0
369;0;0;0;0
370;1;1;1;0
371;4;3;10;0
372;2;2;2;0
373;0;0;0;0
374;1;1;1;0
375;0;0;0;0
376;1;1;1;0
377;1;1;1;0
378;1;1;1;0
379;2;2;12;0
380;2;2;2;0
381;2;1;7;0
382;2;2;2;0
383;4;4;10;1
384;5;5;15;1
385;0;0;0;0
386;4;4;23;0
387;0;0;0;0
388;3;3;5;0
389;0;0;0;0
390;3;3;5;1
391;2;1;7;0
392;3;3;3;0
393;3;4;30;1
394;4;6;33;1
395;5;5;9;1
396;5;5;10;0
397;3;3;11;1
398;8;8;32;1
399;0;0;0;0
400;3;2;8;0
401;1;1;1;0
402;4;4;6;1
403;1;1;1;0
404;1;1;1;0
405;0;0;0;0
406;3;3;5;1
407;2;2;8;1
408;2;2;3;0
409;7;6;44;0
410;5;5;55;1
411;4;4;26;1
412;5;5;13;1
413;2;2;4;1
414;1;1;1;0
415;2;2;6;1
416;1;1;1;0
417;1;1;2;0
