;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition
0;[0, 1];;;;;;;;;;;;;;;;;;;;;;;;
1;[0, 2];;;;;;;;;;;;;;;;;;;;;;;;
2;[0, 3];;;;;;;;;;;;;;;;;;;;;;;;
3;[0, 4];;;;;;;;;;;;;;;;;;;;;;;;
4;[0, 5];;;;;;;;;;;;;;;;;;;;;;;;
5;[0, 6];;;;;;;;;;;;;;;;;;;;;;;;
6;[0, 7];;;;;;;;;;;;;;;;;;;;;;;;
7;[0, 8];;;;;;;;;;;;;;;;;;;;;;;;
8;[0, 9];;;;;;;;;;;;;;;;;;;;;;;;
9;[0, 10];;;;;;;;;;;;;;;;;;;;;;;;
10;[0, 11];;;;;;;;;;;;;;;;;;;;;;;;
11;[0, 12];;;;;;;;;;;;;;;;;;;;;;;;
12;[0, 13];;;;;;;;;;;;;;;;;;;;;;;;
13;[0, 14];;;;;;;;;;;;;;;;;;;;;;;;
14;[0, 15];;;;;;;;;;;;;;;;;;;;;;;;
15;[0, 16];;;;;;;;;;;;;;;;;;;;;;;;
16;[0, 17];;;;;;;;;;;;;;;;;;;;;;;;
17;[0, 18];;;;;;;;;;;;;;;;;;;;;;;;
18;[0, 19];;;;;;;;;;;;;;;;;;;;;;;;
19;[0, 20];;;;;;;;;;;;;;;;;;;;;;;;
20;[0, 21];;;;;;;;;;;;;;;;;;;;;;;;
21;[0, 22];;;;;;;;;;;;;;;;;;;;;;;;
22;[0, 23];;;;;;;;;;;;;;;;;;;;;;;;
23;[0, 24];;;;;;;;;;;;;;;;;;;;;;;;
24;[0, 25];;;;;;;;;;;;;;;;;;;;;;;;
25;[0, 26];;;;;;;;;;;;;;;;;;;;;;;;
26;[0, 27];;;;;;;;;;;;;;;;;;;;;;;;
27;[0, 28];;;;;;;;;;;;;;;;;;;;;;;;
28;[0, 29];;;;;;;;;;;;;;;;;;;;;;;;
29;[0, 30];;;;;;;;;;;;;;;;;;;;;;;;
30;[0, 31];;;;;;;;;;;;;;;;;;;;;;;;
31;[0, 32];;;;;;;;;;;;;;;;;;;;;;;;
32;[0, 33];;;;;;;;;;;;;;;;;;;;;;;;
33;[0, 34];;;;;;;;;;;;;;;;;;;;;;;;
34;[0, 35];;;;;;;;;;;;;;;;;;;;;;;;
35;[0, 36];;;;;;;;;;;;;;;;;;;;;;;;
36;[0, 37];;;;;;;;;;;;;;;;;;;;;;;;
37;[0, 38];;;;;;;;;;;;;;;;;;;;;;;;
38;[0, 39];;;;;;;;;;;;;;;;;;;;;;;;
